,Gender,Nationality,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisitedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
0,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,15,16,2,20,Yes,Good,Under-7,M
1,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,20,20,3,25,Yes,Good,Under-7,M
2,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,10,7,0,30,No,Bad,Above-7,L
3,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,30,25,5,35,No,Bad,Above-7,L
4,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,40,50,12,50,No,Bad,Above-7,M
5,F,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,42,30,13,70,Yes,Bad,Above-7,M
6,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,35,12,0,17,No,Bad,Above-7,L
7,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,10,15,22,Yes,Good,Under-7,M
8,F,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,12,21,16,50,Yes,Good,Under-7,M
9,F,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,70,80,25,70,Yes,Good,Under-7,M
10,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,88,30,80,Yes,Good,Under-7,H
11,M,Kuwait,Kuwait,MiddleSchool,G-07,B,Math,F,Father,19,6,19,12,Yes,Good,Under-7,M
12,M,Kuwait,Kuwait,LowerLevel,G-04,A,IT,F,Father,5,1,0,11,No,Bad,Above-7,L
13,M,Lebanon,Lebanon,MiddleSchool,G-08,A,Math,F,Father,20,14,12,19,No,Bad,Above-7,L
14,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Math,F,Mum,62,70,44,60,No,Bad,Above-7,H
15,F,Kuwait,Kuwait,MiddleSchool,G-06,A,IT,F,Father,30,40,22,66,Yes,Good,Under-7,M
16,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,36,30,20,80,No,Bad,Above-7,M
17,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,55,13,35,90,No,Bad,Above-7,M
18,F,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Mum,69,15,36,96,Yes,Good,Under-7,M
19,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Mum,70,50,40,99,Yes,Good,Under-7,H
20,F,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,60,60,33,90,No,Bad,Above-7,M
21,F,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,10,12,4,80,No,Bad,Under-7,M
22,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,15,21,2,90,No,Bad,Under-7,M
23,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,2,0,2,50,No,Bad,Above-7,L
24,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,0,2,3,70,Yes,Good,Above-7,L
25,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,8,7,30,40,Yes,Good,Above-7,L
26,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,19,19,25,40,Yes,Bad,Under-7,M
27,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,25,15,12,33,No,Bad,Above-7,L
28,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Science,F,Father,75,85,52,43,Yes,Good,Under-7,M
29,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,30,90,33,35,No,Bad,Under-7,M
30,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,35,80,50,70,Yes,Good,Under-7,H
31,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,4,5,40,16,Yes,Good,Above-7,L
32,F,Kuwait,Kuwait,LowerLevel,G-07,A,IT,F,Father,2,19,10,50,Yes,Good,Above-7,L
33,M,Kuwait,Kuwait,LowerLevel,G-05,A,English,F,Father,8,22,9,40,No,Bad,Above-7,L
34,M,Kuwait,Kuwait,MiddleSchool,G-07,B,Science,F,Father,12,11,8,40,No,Bad,Above-7,L
35,M,Kuwait,Kuwait,MiddleSchool,G-07,A,English,F,Father,10,12,17,30,No,Bad,Above-7,L
36,M,Kuwait,Kuwait,MiddleSchool,G-07,B,Science,F,Mum,8,6,4,22,Yes,Good,Above-7,L
37,F,Egypt,Egypt,MiddleSchool,G-07,A,IT,F,Father,45,54,26,90,Yes,Good,Under-7,M
38,M,Kuwait,Kuwait,MiddleSchool,G-06,A,IT,F,Father,0,0,0,4,No,Bad,Above-7,L
39,F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,Science,F,Father,50,90,37,70,Yes,Good,Under-7,M
40,F,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,14,13,3,70,No,Bad,Above-7,L
41,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,19,20,16,50,No,Good,Under-7,M
42,M,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,10,12,7,33,Yes,Good,Above-7,L
43,F,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,30,35,28,90,Yes,Good,Under-7,M
44,F,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,33,33,30,90,No,Bad,Under-7,M
45,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,F,Father,20,12,15,70,No,Good,Above-7,L
46,M,Kuwait,Kuwait,LowerLevel,G-05,A,English,F,Father,7,10,1,30,No,Bad,Above-7,L
47,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Mum,70,4,39,90,Yes,Good,Under-7,H
48,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Mum,13,80,40,88,Yes,Good,Under-7,H
49,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,29,39,50,77,Yes,Good,Under-7,M
50,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,20,14,12,70,No,Bad,Above-7,L
51,M,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,39,15,16,50,No,Good,Above-7,L
52,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,55,90,16,40,No,Bad,Under-7,M
53,F,Kuwait,Kuwait,HighSchool,G-11,A,Science,F,Mum,49,70,19,75,Yes,Good,Under-7,H
54,M,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Mum,12,50,8,30,No,Bad,Above-7,L
55,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,16,14,6,20,Yes,Good,Above-7,L
56,M,USA,USA,MiddleSchool,G-08,B,Math,F,Father,19,5,4,1,Yes,Good,Above-7,L
57,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,5,2,6,5,Yes,Good,Above-7,L
58,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,28,60,19,50,Yes,Good,Under-7,M
59,F,USA,USA,MiddleSchool,G-07,A,Math,F,Father,27,22,22,40,No,Good,Under-7,M
60,F,Jordan,Jordan,LowerLevel,G-05,A,English,F,Mum,21,10,28,20,No,Good,Above-7,L
61,M,Kuwait,Kuwait,HighSchool,G-10,A,IT,F,Father,50,70,32,40,Yes,Good,Under-7,M
62,M,venzuela,venzuela,HighSchool,G-10,A,IT,F,Mum,80,90,70,80,Yes,Good,Under-7,H
63,M,Kuwait,Kuwait,HighSchool,G-10,A,IT,F,Father,17,13,16,12,Yes,Bad,Under-7,M
64,M,Kuwait,Kuwait,HighSchool,G-10,A,IT,F,Father,0,5,7,2,No,Bad,Above-7,L
65,M,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,13,5,18,19,No,Bad,Above-7,L
66,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,25,10,19,30,No,Bad,Above-7,M
67,F,USA,USA,HighSchool,G-12,A,English,F,Mum,65,75,23,80,Yes,Good,Under-7,H
68,F,USA,USA,HighSchool,G-12,A,IT,F,Mum,70,69,35,30,Yes,Good,Under-7,H
69,M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,39,40,11,33,No,Bad,Under-7,M
70,M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,22,30,10,12,Yes,Good,Above-7,L
71,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,29,22,9,20,Yes,Good,Under-7,M
72,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,11,2,2,8,No,Bad,Under-7,L
73,F,Kuwait,Kuwait,MiddleSchool,G-07,A,English,F,Father,19,30,26,19,Yes,Bad,Above-7,M
74,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,12,0,6,13,No,Bad,Under-7,L
75,M,Jordan,Jordan,MiddleSchool,G-07,A,Quran,F,Mum,50,90,29,60,Yes,Good,Under-7,M
76,M,Iran,Iran,HighSchool,G-09,A,IT,F,Mum,15,70,37,44,Yes,Good,Under-7,M
77,M,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,20,80,33,33,Yes,Good,Under-7,M
78,M,Kuwait,Kuwait,HighSchool,G-11,A,Quran,F,Father,13,3,11,9,No,Bad,Above-7,L
79,F,Lebanon,Lebanon,MiddleSchool,G-07,B,Math,F,Mum,80,90,49,55,Yes,Bad,Under-7,H
80,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,8,15,10,40,Yes,Bad,Under-7,L
81,M,Kuwait,Kuwait,LowerLevel,G-02,A,IT,F,Father,8,25,1,70,No,Bad,Above-7,L
82,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,7,5,2,80,Yes,Good,Above-7,L
83,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,7,4,10,50,No,Good,Above-7,M
84,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,70,50,10,Yes,Good,Above-7,H
85,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,1,0,1,12,No,Bad,Above-7,L
86,M,SaudiArabia,SaudiArabia,LowerLevel,G-02,B,IT,F,Father,70,12,40,50,Yes,Good,Under-7,H
87,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,19,70,3,50,No,Bad,Under-7,L
88,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,3,12,4,33,No,Bad,Under-7,L
89,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,5,20,1,50,Yes,Good,Above-7,L
90,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,4,8,10,60,Yes,Good,Above-7,L
91,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,80,90,55,19,Yes,Good,Under-7,H
92,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,70,19,15,Yes,Good,Under-7,H
93,M,USA,USA,LowerLevel,G-02,B,IT,F,Father,55,89,40,40,Yes,Good,Under-7,H
94,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,80,44,35,10,No,Good,Above-7,L
95,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,100,80,2,70,No,Bad,Under-7,H
96,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,14,60,11,75,Yes,Good,Under-7,H
97,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,6,2,38,12,No,Bad,Under-7,M
98,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,10,3,0,30,No,Bad,Under-7,M
99,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,7,9,50,Yes,Bad,Above-7,M
100,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,90,40,90,Yes,Bad,Under-7,M
101,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Mum,70,92,50,7,Yes,Good,Under-7,H
102,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,2,6,2,8,No,Bad,Above-7,L
103,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,1,7,6,10,No,Bad,Above-7,L
104,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,0,12,3,3,Yes,Good,Above-7,M
105,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,0,0,5,80,Yes,Good,Above-7,L
106,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,12,26,7,40,Yes,Good,Under-7,M
107,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,70,90,41,33,Yes,Bad,Under-7,H
108,M,SaudiArabia,SaudiArabia,LowerLevel,G-02,B,IT,F,Father,7,12,5,3,No,Bad,Above-7,M
109,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,90,70,30,14,No,Bad,Under-7,M
110,F,Jordan,Jordan,LowerLevel,G-02,B,IT,F,Mum,70,88,55,40,Yes,Good,Under-7,H
111,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,77,80,51,80,No,Good,Under-7,M
112,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,2,5,3,50,No,Bad,Above-7,L
113,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,25,27,0,69,No,Bad,Above-7,L
114,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,11,2,0,50,No,Bad,Above-7,L
115,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,0,8,11,70,Yes,Good,Above-7,L
116,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,77,80,12,19,Yes,Good,Above-7,M
117,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,25,29,40,17,No,Good,Under-7,H
118,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,24,35,23,22,Yes,Good,Above-7,M
119,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,60,60,3,60,No,Bad,Under-7,M
120,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,21,12,0,50,Yes,Good,Under-7,M
121,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,0,4,8,30,No,Bad,Above-7,L
122,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,66,90,55,12,Yes,Good,Above-7,M
123,F,Lebanon,Lebanon,LowerLevel,G-02,B,IT,F,Father,70,98,7,5,Yes,Good,Under-7,M
124,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,0,6,4,15,Yes,Bad,Under-7,L
125,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,12,30,0,17,No,Good,Above-7,L
126,F,Iran,Iran,LowerLevel,G-02,C,IT,F,Father,2,9,7,55,Yes,Good,Under-7,M
127,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,55,33,6,9,No,Bad,Above-7,L
128,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,12,10,20,16,No,Bad,Under-7,L
129,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,70,90,2,2,Yes,Good,Under-7,L
130,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,7,9,5,30,No,Bad,Above-7,L
131,M,Jordan,Jordan,LowerLevel,G-02,C,IT,F,Father,80,42,20,50,Yes,Good,Under-7,M
132,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,S,Father,0,3,10,3,No,Bad,Above-7,L
133,M,Kuwait,Kuwait,LowerLevel,G-02,A,IT,S,Father,12,60,0,70,Yes,Good,Above-7,L
134,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,80,80,15,70,Yes,Good,Under-7,H
135,F,Egypt,Egypt,MiddleSchool,G-07,A,Quran,S,Mum,70,80,95,70,Yes,Good,Under-7,H
136,F,Kuwait,USA,HighSchool,G-11,A,Quran,S,Mum,70,80,95,70,Yes,Good,Under-7,H
137,F,Kuwait,USA,HighSchool,G-11,A,Quran,F,Mum,60,80,50,40,No,Bad,Under-7,M
138,F,Jordan,Egypt,MiddleSchool,G-07,A,Quran,F,Mum,100,80,95,90,No,Bad,Under-7,H
139,M,Jordan,USA,MiddleSchool,G-07,A,Quran,F,Mum,100,85,85,70,No,Bad,Under-7,M
140,M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,F,Father,10,60,5,20,Yes,Bad,Above-7,L
141,M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,19,65,50,10,No,Bad,Above-7,L
142,M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,10,75,55,11,Yes,Good,Under-7,M
143,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,80,90,55,19,Yes,Good,Under-7,H
144,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,10,10,15,19,No,Bad,Above-7,L
145,M,Tunis,SaudiArabia,MiddleSchool,G-07,A,Quran,S,Father,70,75,55,11,Yes,Bad,Under-7,M
146,F,Lebanon,Lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,75,50,70,Yes,Good,Under-7,H
147,F,Lebanon,Lebanon,MiddleSchool,G-07,A,Quran,S,Father,10,79,30,30,No,Bad,Under-7,M
148,F,Jordan,Jordan,MiddleSchool,G-07,A,Quran,S,Father,60,55,30,40,No,Bad,Under-7,M
149,F,Jordan,Lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,75,50,70,Yes,Bad,Under-7,H
150,M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,Quran,S,Father,80,80,51,59,Yes,Good,Under-7,H
151,M,SaudiArabia,USA,HighSchool,G-11,A,Science,S,Father,23,63,71,89,Yes,Good,Under-7,M
152,F,SaudiArabia,USA,HighSchool,G-11,B,Science,S,Father,100,91,98,40,Yes,Bad,Under-7,H
153,M,SaudiArabia,USA,HighSchool,G-11,B,Spanish,S,Father,10,51,40,40,No,Bad,Above-7,L
154,M,SaudiArabia,USA,HighSchool,G-11,B,English,S,Father,70,50,33,41,No,Bad,Above-7,M
155,M,SaudiArabia,USA,HighSchool,G-11,B,Math,S,Father,70,58,73,91,Yes,Bad,Under-7,H
156,F,Tunis,USA,HighSchool,G-11,B,French,S,Father,70,50,30,49,Yes,Good,Under-7,M
157,M,Tunis,Tunis,HighSchool,G-11,B,Science,S,Father,70,50,33,40,No,Good,Under-7,M
158,M,Tunis,Kuwait,MiddleSchool,G-07,B,Science,S,Father,22,51,48,10,No,Bad,Above-7,L
159,F,Kuwait,Kuwait,MiddleSchool,G-07,B,Science,S,Father,62,68,48,80,Yes,Good,Under-7,M
160,F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82,89,58,50,Yes,Good,Under-7,H
161,M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72,80,58,66,No,Bad,Under-7,M
162,F,Jordan,Jordan,LowerLevel,G-02,B,French,S,Mum,70,82,3,73,No,Bad,Under-7,H
